name,owner,language,stars,forks,open_issues,created_year,age_years
build-your-own-x,codecrafters-io,Markdown,444656,41719,451,2018,6
freeCodeCamp,freeCodeCamp,TypeScript,433720,42640,312,2014,10
awesome,sindresorhus,Unknown,419099,32464,52,2014,10
public-apis,public-apis,Python,381979,40703,734,2016,8
free-programming-books,EbookFoundation,Python,377997,65578,201,2013,11
developer-roadmap,kamranahmedse,TypeScript,344636,43463,68,2017,7
coding-interview-university,jwasham,Unknown,334282,81374,89,2016,8
system-design-primer,donnemartin,Python,328080,53487,512,2017,7
996.ICU,996icu,Unknown,274923,21011,16696,2019,5
awesome-python,vinta,Python,271861,26836,519,2014,10
awesome-selfhosted,awesome-selfhosted,Unknown,260803,12013,0,2015,9
project-based-learning,practical-tutorials,Unknown,251355,32863,261,2017,7
react,facebook,JavaScript,240977,49966,1094,2013,11
Python,TheAlgorithms,Python,213897,49445,776,2016,8
vue,vuejs,TypeScript,209734,33801,615,2013,11
linux,torvalds,C,208429,58526,3,2011,13
computer-science,ossu,HTML,198557,24719,23,2014,10
javascript-algorithms,trekhleb,JavaScript,197845,32895,362,2018,6
tensorflow,tensorflow,C++,193542,75145,2221,2015,9
awesome-go,avelino,Go,145265,12554,16,2014,10
kubernetes,kubernetes,Go,116785,42961,1780,2014,10
next.js,vercel,JavaScript,140869,28214,2905,2016,8
node,nodejs,JavaScript,117584,23837,1842,2009,15
deno,denoland,Rust,101809,5526,1972,2018,6
rust,rust-lang,Rust,106937,14212,9893,2010,14
vscode,microsoft,TypeScript,172871,31389,7951,2015,9
django,django,Python,85332,30785,291,2012,12
flask,pallets,Python,69598,16272,19,2010,14
pandas,pandas-dev,Python,46034,18989,4025,2008,16
numpy,numpy,Python,31184,10488,2402,2006,18
